Row,Neighborhood
1,Allandale
2,Apartments in East Riverside
3,Balcones Woods
4,Barrington Oaks
5,Barton Creek
6,Barton Hills
7,Barton Springs Pool in Zilker
8,Battle Bend Springs
9,Bouldin Creek
10,Brentwood
11,Bryker Woods
12,Canyon Creek
13,Caswell Heights
14,Central East Austin
15,Cherry Creek
16,Circle C Ranch
17,Clarksville Historic District
18,Copperfield
19,Crestview
20,Dawson
21,Dove Springs
22,Downtown Austin
23,East Cesar Chavez
24,East Congress
25,East End
26,East Riverside-Oltorf
27,Eastwoods
28,Estates of Brentwood
29,Far South Austin/Slaughter-Manchaca
30,Far West
31,French Place
32,Galindo
33,Govalle
34,Gracy Woods
35,Great Hills/Arboretum
36,Hancock
37,Heritage
38,Highland
39,Holly
40,Hyde Park Historic District
41,Judge's Hill
42,Kincheonville
43,Lady Bird Johnson Wildflower Center in Circle C
44,Lower Waller Creek
45,Maple Run
46,Montopolis
47,Mueller
48,North Burnet
49,North Campus
50,North Lamar
51,North Loop
52,North Shoal Creek
53,North University
54,Northwest Hills
55,Oak Hill
56,Oakmont Heights
57,Old Enfield
58,Old Pecan Street
59,Old West Austin
60,Onion Creek
61,Original Austin
62,Original West University
63,Pemberton Heights
64,Pleasant Valley
65,Ridgelea
66,Ridgetop
67,Rosedale
68,Saint John
69,Sendera
70,Shadow Lawn Historic District
71,Shady Hollow
72,Shoal Crest
73,South Congress
74,South Lamar*Spyglass-Barton's Bluffs
75,South Manchaca
76,South River City
77,Southeast Austin
78,Southpark Meadows
79,Steiner Ranch
80,Sunset Valley
81,Tanglewood Forest
82,Tarrytown
83,The Ridge at Lantana
84,Travis Country
85,Travis Heights
86,Wells Branch
87,West Congress
88,West Downtown
89,West End
90,West Line Historic District
91,Westgate
92,Windsor Hills
93,Windsor Park
94,Woodstone Village
95,Wooten
96,Zilker
