Row,Neighborhood
1,Alamo Square
2,Anza Vista
3,Ashbury Heights
4,Balboa Park
5,Balboa Terrace
6,Bayview
7,Belden Place
8,Bernal Heights
9,Buena Vista
10,Butchertown (Old and New)
11,Castro
12,Cathedral Hill
13,Cayuga Terrace
14,China Basin
15,Chinatown
16,Civic Center
17,Clarendon Heights
18,Cole Valley
19,Corona Heights
20,Cow Hollow
21,Crocker-Amazon
22,Design District
23,Diamond Heights
24,Dogpatch
25,Dolores Heights
26,Duboce Triangle
27,Embarcadero
28,Eureka Valley
29,Excelsior
30,Fillmore
31,Financial District South
32,Financial District
33,Fisherman's Wharf
34,Forest Hill
35,Forest Knolls
36,Glen Park
37,Golden Gate Heights
38,Haight-Ashbury
39,Hayes Valley
40,Hunters Point
41,India Basin
42,Ingleside Terraces
43,Ingleside
44,Inner Sunset
45,Irish Hill
46,Islais Creek
47,Jackson Square
48,Japantown
49,Jordan Park
50,Laguna Honda
51,Lake Street
52,Lakeshore
53,Lakeside
54,Laurel Heights
55,Lincoln Manor
56,Little Hollywood
57,Little Russia
58,Little Saigon
59,Lone Mountain
60,Lower Haight
61,Lower Nob Hill
62,Lower Pacific Heights
63,Marina District
64,Merced Heights
65,Merced Manor
66,Mid-Market
67,Midtown Terrace
68,Miraloma Park
69,Mission Bay
70,Mission District
71,Mission Dolores
72,Mission Terrace
73,Monterey Heights
74,Mount Davidson
75,Nob Hill
76,Noe Valley
77,North Beach
78,North of Panhandle
79,Oceanview
80,Outer Mission
81,Outer Sunset
82,Pacific Heights
83,Parkmerced
84,Parkside
85,Parnassus
86,Polk Gulch
87,Portola Place
88,Portola
89,Potrero Hill
90,Presidio Heights
91,Presidio
92,Richmond District
93,Rincon Hill
94,Russian Hill
95,Saint Francis Wood
96,Sea Cliff
97,Sherwood Forest
98,Silver Terrace
99,South Beach
100,South End
101,South of Market
102,South Park
103,Sunnydale
104,Sunnyside
105,Sunset District
106,Telegraph Hill
107,Tenderloin
108,Treasure Island
109,Twin Peaks
110,Union Square
111,University Mound
112,Upper Market
113,Visitacion Valley
114,Vista del Mar
115,West Portal
116,Western Addition
117,Westwood Highlands
118,Westwood Park
119,Yerba Buena
