Row,Neighborhood,City,Latitude,Longitude
1,Alamo Square,San Francisco,37.7763598,-122.4346885
2,Anza Vista,San Francisco,37.7808364,-122.4431489
3,Ashbury Heights,San Francisco,37.765442,-122.44536
4,Balboa Park,San Francisco,37.7214274,-122.4475473
5,Balboa Terrace,San Francisco,37.731524,-122.468539
6,Bayview,San Francisco,37.7288889,-122.3925
7,Belden Place,San Francisco,37.7288889,-122.4038861
8,Bernal Heights,San Francisco,37.7429861,-122.4158042
9,Buena Vista,San Francisco,37.8065321,-122.4206485
10,Butchertown,San Francisco,37.744567,-122.395353
11,Castro,San Francisco,37.7608561,-122.434957
12,Cathedral Hill,San Francisco,37.784378,-122.424528
13,Cayuga Terrace,San Francisco,37.724859,-122.440086
14,China Basin,San Francisco,37.7763295,-122.3918385
15,Chinatown,San Francisco,37.7943011,-122.4063757
16,Civic Center,San Francisco,37.7795939,-122.4167938
17,Clarendon Heights,San Francisco,37.758575,-122.451367
18,Cole Valley,San Francisco,37.7658133,-122.4499624
19,Corona Heights,San Francisco,37.76206,-122.443297
20,Cow Hollow,San Francisco,37.7972616,-122.4362477
21,Crocker-Amazon,San Francisco,37.7093777,-122.4385868
22,Design District,San Francisco,37.768169,-122.39862
23,Diamond Heights,San Francisco,37.761894,-122.437299
24,Dogpatch,San Francisco,37.757394,-122.389903
25,Dolores Heights,San Francisco,37.757358,-122.433331
26,Duboce Triangle,San Francisco,37.7671382,-122.43223
27,Embarcadero,San Francisco,37.7928637,-122.396912
28,Eureka Valley,San Francisco,37.758522,-122.441183
29,Excelsior,San Francisco,37.724265,-122.427641
30,Fillmore,San Francisco,37.78086,-122.42542
31,Financial District South,San Francisco,37.786602,-122.395617
32,Financial District,San Francisco,37.7936467,-122.3989378
33,Fisherman's Wharf,San Francisco,37.8091669,-122.4165994
34,Forest Hill,San Francisco,37.7474307,-122.4635825
35,Forest Knolls,San Francisco,37.757233,-122.458247
36,Glen Park,San Francisco,37.734281,-122.4344696
37,Golden Gate Heights,San Francisco,37.752951,-122.470649
38,Haight-Ashbury,San Francisco,37.7700148,-122.4469519
39,Hayes Valley,San Francisco,37.7766853,-122.4229361
40,Hunters Point,San Francisco,37.7267715,-122.3715718
41,India Basin,San Francisco,37.7360416,-122.370526
43,Ingleside,San Francisco,37.719932,-122.454043
42,Ingleside Terraces,San Francisco,37.72505,-122.467568
44,Inner Sunset,San Francisco,37.76145,-122.4676432
45,Irish Hill,San Francisco,37.7589682,-122.3860326
46,Islais Creek,San Francisco,37.74723,-122.389501
47,Jackson Square,San Francisco,37.796765,-122.403379
48,Japantown,San Francisco,37.7855789,-122.4298089
49,Jordan Park,San Francisco,37.7846516,-122.4566383
50,Laguna Honda,San Francisco,37.747987,-122.4591161
51,Lake Street,San Francisco,37.7863403,-122.4722023
52,Lakeshore,San Francisco,37.723274,-122.488793
53,Lakeside,San Francisco,37.726461,-122.473458
54,Laurel Heights,San Francisco,37.7868044,-122.4498202
55,Lincoln Manor,San Francisco,37.780539,-122.497756
56,Little Hollywood,San Francisco,37.711369,-122.398064
57,Little Russia,San Francisco,37.780265,-122.481697
58,Little Saigon,San Francisco,37.784379,-122.417708
59,Lone Mountain,San Francisco,37.7790963,-122.4519159
60,Lower Haight,San Francisco,37.7719261,-122.4324791
61,Lower Nob Hill,San Francisco,37.7627,-122.442229
62,Lower Pacific Heights,San Francisco,37.7857666,-122.4389042
63,Marina District,San Francisco,37.8029843,-122.4374715
64,Merced Heights,San Francisco,37.7175067,-122.4702815
65,Merced Manor,San Francisco,37.732869,-122.47854
