,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Alamo Square,37.7763598,-122.43468850000001,Alamo Square,37.77604493890036,-122.43436268009934,Park
1,Alamo Square,37.7763598,-122.43468850000001,Alamo Square Dog Park,37.77587824200634,-122.4357395910845,Dog Run
2,Alamo Square,37.7763598,-122.43468850000001,Painted Ladies,37.77611954047747,-122.43338919043477,Historic Site
3,Alamo Square,37.7763598,-122.43468850000001,The Independent,37.77557274879696,-122.43783539145652,Rock Club
4,Alamo Square,37.7763598,-122.43468850000001,Fool’s Errand,37.77551224062072,-122.43796057402282,Bar
5,Alamo Square,37.7763598,-122.43468850000001,The Mill,37.7764253207762,-122.43796976647843,Bakery
6,Alamo Square,37.7763598,-122.43468850000001,Nopa,37.774888,-122.437532,New American Restaurant
7,Alamo Square,37.7763598,-122.43468850000001,Bi-Rite Market,37.77479553269564,-122.4377388357674,Market
8,Alamo Square,37.7763598,-122.43468850000001,4505 Burgers & BBQ,37.77612534143469,-122.43814234566274,BBQ Joint
9,Alamo Square,37.7763598,-122.43468850000001,Souvla,37.77457655200334,-122.4378085167028,Souvlaki Shop
10,Alamo Square,37.7763598,-122.43468850000001,Bi-Rite Creamery,37.77473518150432,-122.43768939710218,Ice Cream Shop
11,Alamo Square,37.7763598,-122.43468850000001,Little Star Pizza,37.77748853090511,-122.43828074763262,Pizza Place
12,Alamo Square,37.7763598,-122.43468850000001,jū-ni,37.77674279707642,-122.43876965372021,Sushi Restaurant
13,Alamo Square,37.7763598,-122.43468850000001,Bar Crudo,37.775706638461116,-122.43801921397446,Seafood Restaurant
14,Alamo Square,37.7763598,-122.43468850000001,Horsefeather,37.77451588050533,-122.43767808543302,Cocktail Bar
15,Alamo Square,37.7763598,-122.43468850000001,The Center SF,37.77454451433456,-122.43073033291728,Spiritual Center
16,Alamo Square,37.7763598,-122.43468850000001,Divisadero Farmers' Market,37.77593488829244,-122.43836849064454,Farmers Market
17,Alamo Square,37.7763598,-122.43468850000001,Brenda's Meat & Three,37.77826524954494,-122.43858377615564,Southern / Soul Food Restaurant
18,Alamo Square,37.7763598,-122.43468850000001,Tsunami,37.77686924958205,-122.4384856113639,Sushi Restaurant
19,Alamo Square,37.7763598,-122.43468850000001,RT Rotisserie,37.773238,-122.43891599999999,Restaurant
20,Alamo Square,37.7763598,-122.43468850000001,Yoga Garden,37.77198233757195,-122.4371073995282,Yoga Studio
21,Alamo Square,37.7763598,-122.43468850000001,Nopalito,37.77354423993796,-122.43917940929911,Mexican Restaurant
22,Alamo Square,37.7763598,-122.43468850000001,Sightglass Coffee,37.77228702957698,-122.43741884185536,Coffee Shop
23,Alamo Square,37.7763598,-122.43468850000001,Comix Experience,37.77243285569474,-122.43735592709122,Comic Shop
24,Alamo Square,37.7763598,-122.43468850000001,Madrone Art Bar,37.77402499617328,-122.4374303917682,Nightclub
25,Alamo Square,37.7763598,-122.43468850000001,Falletti Foods,37.77323820160938,-122.43899852180465,Grocery Store
26,Alamo Square,37.7763598,-122.43468850000001,The Little Chihuahua,37.77203349168377,-122.43700236082077,Burrito Place
27,Alamo Square,37.7763598,-122.43468850000001,Maven,37.771952185838934,-122.43205537504465,Cocktail Bar
28,Alamo Square,37.7763598,-122.43468850000001,Kung Food,37.77777835962947,-122.43869837765037,Hunan Restaurant
29,Alamo Square,37.7763598,-122.43468850000001,Réveille Coffee Co.,37.77097771218059,-122.43202895838355,Coffee Shop
30,Alamo Square,37.7763598,-122.43468850000001,Workshop.,37.777438452809925,-122.44156203405919,Arts & Crafts Store
31,Alamo Square,37.7763598,-122.43468850000001,Wiggle Bicycles,37.770953665992835,-122.43221475860007,Bike Shop
32,Alamo Square,37.7763598,-122.43468850000001,Native Twins Coffee,37.771602106909576,-122.43710607446741,Coffee Shop
33,Alamo Square,37.7763598,-122.43468850000001,Matching Half Cafe,37.77735594767947,-122.44162796250136,Café
34,Alamo Square,37.7763598,-122.43468850000001,Vinyl Coffee & Wine Bar,37.773117837194604,-122.43753741971061,Wine Bar
35,Alamo Square,37.7763598,-122.43468850000001,Salt & Straw,37.77653240407315,-122.42605136320933,Ice Cream Shop
36,Alamo Square,37.7763598,-122.43468850000001,Powder,37.77158690143866,-122.4370995097535,Ice Cream Shop
37,Alamo Square,37.7763598,-122.43468850000001,Palmyra,37.771748720188974,-122.43382539364248,Mediterranean Restaurant
38,Alamo Square,37.7763598,-122.43468850000001,Suppenküche,37.776324,-122.426382,German Restaurant
39,Alamo Square,37.7763598,-122.43468850000001,True Sake,37.776533036480984,-122.42568104036205,Liquor Store
40,Alamo Square,37.7763598,-122.43468850000001,Duboce Park,37.76945795215864,-122.43301340038954,Park
41,Alamo Square,37.7763598,-122.43468850000001,Bob's On Baker,37.77654188098846,-122.44177334010601,Donut Shop
42,Alamo Square,37.7763598,-122.43468850000001,Jane the Bakery,37.78379748921064,-122.43428254305587,Bakery
43,Alamo Square,37.7763598,-122.43468850000001,Domo Sushi,37.775950987226544,-122.42615120612774,Sushi Restaurant
44,Alamo Square,37.7763598,-122.43468850000001,The Fillmore,37.78395184946436,-122.4330327549218,Music Venue
45,Alamo Square,37.7763598,-122.43468850000001,Gioia Pizzeria,37.776328,-122.425859,Pizza Place
46,Alamo Square,37.7763598,-122.43468850000001,The Progress,37.78374466115743,-122.43297199831427,American Restaurant
47,Alamo Square,37.7763598,-122.43468850000001,Yoga Tree Hayes,37.776507,-122.425014,Yoga Studio
48,Alamo Square,37.7763598,-122.43468850000001,State Bird Provisions,37.78374261088443,-122.43287398277053,New American Restaurant
49,Alamo Square,37.7763598,-122.43468850000001,Harvey Milk Recreational Arts Center,37.769482098023715,-122.43392105413758,Event Space
50,Alamo Square,37.7763598,-122.43468850000001,Boba Guys,37.78365698301195,-122.43266214946281,Bubble Tea Shop
51,Alamo Square,37.7763598,-122.43468850000001,Ritual Coffee Roasters,37.776476344721765,-122.42428110362547,Coffee Shop
52,Alamo Square,37.7763598,-122.43468850000001,Raymond Kimbell Playground,37.78319767097322,-122.43491012880098,Playground
53,Alamo Square,37.7763598,-122.43468850000001,Smitten Ice Cream,37.77627287864489,-122.4242347862329,Ice Cream Shop
54,Alamo Square,37.7763598,-122.43468850000001,Birba,37.77774961586494,-122.42415851391236,Wine Bar
55,Alamo Square,37.7763598,-122.43468850000001,Buena Vista Tennis Courts,37.76944505768117,-122.43913152078795,Tennis Court
56,Alamo Square,37.7763598,-122.43468850000001,Wise Sons Bagel & Coffee,37.77723482836679,-122.42483135365356,Bagel Shop
57,Alamo Square,37.7763598,-122.43468850000001,Kabuki Springs & Spa,37.78440721763901,-122.43257618452989,Spa
58,Alamo Square,37.7763598,-122.43468850000001,Linden Alley,37.77632881728594,-122.42359399795532,Pedestrian Plaza
59,Alamo Square,37.7763598,-122.43468850000001,Woori Food Market,37.78375924658761,-122.43274762260802,Market
60,Alamo Square,37.7763598,-122.43468850000001,Proxy SF,37.77650050379861,-122.42424515538063,Event Space
61,Alamo Square,37.7763598,-122.43468850000001,Biergarten,37.77601325805514,-122.42424739149521,Beer Garden
62,Alamo Square,37.7763598,-122.43468850000001,Kinokuniya Bookstore,37.784937664521735,-122.43167202047937,Bookstore
63,Alamo Square,37.7763598,-122.43468850000001,Anina,37.77671255766366,-122.42427346398327,Cocktail Bar
64,Alamo Square,37.7763598,-122.43468850000001,Avery,37.78406420129634,-122.43282919431634,New American Restaurant
65,Alamo Square,37.7763598,-122.43468850000001,Patricia's Green,37.77636887601496,-122.42447901033637,Park
66,Alamo Square,37.7763598,-122.43468850000001,OMA San Francisco Station,37.785010213957456,-122.43093584499641,Sushi Restaurant
67,Alamo Square,37.7763598,-122.43468850000001,a Mano,37.776916945347146,-122.42385625239876,Italian Restaurant
68,Alamo Square,37.7763598,-122.43468850000001,Blue Bottle Coffee,37.776430131820725,-122.42322360122202,Coffee Shop
69,Alamo Square,37.7763598,-122.43468850000001,Fatted Calf,37.77593518054966,-122.42314601183367,Butcher
70,Alamo Square,37.7763598,-122.43468850000001,Beit Rima,37.76875439388483,-122.42904017764762,Middle Eastern Restaurant
71,Alamo Square,37.7763598,-122.43468850000001,Buena Vista Park,37.768497022617865,-122.44062775550447,Park
72,Alamo Square,37.7763598,-122.43468850000001,The Apothecarium,37.76858652143181,-122.42772970925192,Marijuana Dispensary
73,Alamo Square,37.7763598,-122.43468850000001,Nijiya Market,37.78519944878356,-122.43102511512453,Grocery Store
74,Alamo Square,37.7763598,-122.43468850000001,Juice Shop,37.77646164271935,-122.4243021097857,Juice Bar
75,Alamo Square,37.7763598,-122.43468850000001,Flagship CrossFit,37.76830446274301,-122.42930492606614,Gym
76,Alamo Square,37.7763598,-122.43468850000001,Hair Caffe,37.78574201141599,-122.43613275156453,Salon / Barbershop
77,Alamo Square,37.7763598,-122.43468850000001,The Speakeasy Project,37.78083793918582,-122.4263009468954,Theater
78,Alamo Square,37.7763598,-122.43468850000001,Welcome Stranger,37.777498514169416,-122.4231245664023,Men's Store
79,Alamo Square,37.7763598,-122.43468850000001,Boba Guys,37.77290679880422,-122.42350730562886,Bubble Tea Shop
80,Alamo Square,37.7763598,-122.43468850000001,L'Ardoise,37.766674548230164,-122.43326095822378,French Restaurant
81,Alamo Square,37.7763598,-122.43468850000001,El Castillito,37.7687639,-122.4293081,Mexican Restaurant
82,Alamo Square,37.7763598,-122.43468850000001,Song Tea & Ceramics,37.785920575723026,-122.43523145487265,Tea Room
83,Alamo Square,37.7763598,-122.43468850000001,MAC Modern Appealing Clothing,37.777784539137244,-122.42285238577169,Boutique
84,Alamo Square,37.7763598,-122.43468850000001,Fig & Thistle Wine Bar,37.777256,-122.423365,Wine Bar
85,Alamo Square,37.7763598,-122.43468850000001,Naya Dessert Cafe,37.777174,-122.424859,Dessert Shop
86,Alamo Square,37.7763598,-122.43468850000001,Pet Food Express,37.76923879073783,-122.42627112387855,Pet Store
87,Alamo Square,37.7763598,-122.43468850000001,Urban Ritual,37.77559476900744,-122.42586342920178,Bubble Tea Shop
